gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
MRPL53,4.78025385277252,5.91450149361406,0.990876474587996,5.25294305730861e-10,7.69167051002578e-08
PRSS3,154.282202881451,3.11891343877748,0.528807573258084,5.36189288077512e-10,7.77917192812639e-08
AC005261.1,9.24803602409071,6.31021474452772,1.06509087521751,5.47304347550046e-10,7.86824632014221e-08
SNTB1,7.84058442642157,-3.07373648203102,0.524386446195184,5.85628916408656e-10,8.34336548115899e-08
PAPSS1,35.4345890373485,-2.19782479928769,0.420172265216017,5.94557549993506e-10,8.39494026392617e-08
APOBEC1,5.7008340049955,5.00998285861203,0.8340210336145,6.27322285210594e-10,8.77918107815959e-08
GIMAP2,2.84089324216123,3.70124766610723,0.61623992963952,6.5084171875054e-10,9.02843064940443e-08
AC023157.3,30.3844479040132,7.05941327267699,1.21639176821789,6.6464406183687e-10,9.13972277729414e-08
CRIP1,243.502541806228,4.11807427982115,0.68487076068781,7.14719189386124e-10,9.621134019511e-08
CYBA,345.938599314068,1.47176058507293,0.27494342044501,7.17334793816282e-10,9.621134019511e-08
SIK1,15.9345507841142,4.24100857015382,0.705343703332934,7.17904271090362e-10,9.621134019511e-08
HOXB6,5.36488523165631,5.86990769842147,0.993457785542335,7.72991427769801e-10,1.02723415451694e-07
AC008771.1,7.59436094355518,6.0860472602758,1.03524747113761,8.20077889001569e-10,1.0807259780559e-07
METTL7A,54.4131465373769,-3.33715617136854,0.566732118822876,8.58431394872077e-10,1.11272410479566e-07
AL118516.1,12.8769863981976,6.63823935193918,1.14193570352348,8.57227323584623e-10,1.11272410479566e-07
RTL8C,13.5679319092457,6.59990496066978,1.13513423904511,8.74345138609298e-10,1.12413772536321e-07
AC009403.1,3.75930881135865,5.62632905282698,0.952515050795835,8.83022386733472e-10,1.12613838901638e-07
KRT7,185.767906212428,3.16081258126706,0.543964545084447,9.42175261002231e-10,1.19196476619914e-07
AC008124.1,4.21304132575265,5.70851353533412,0.97015188119974,9.70830894607739e-10,1.21846982280371e-07
GPRC5C,50.1412132831517,-2.14706306711604,0.420757802542593,1.00923388663392e-09,1.25669485694715e-07
SELENON,7.15250586242247,6.03821109278291,1.03360136094438,1.04812107799028e-09,1.29492083807331e-07
POLD4,106.565389161504,3.22136652863627,0.554981227556126,1.10300010945824e-09,1.35215842875757e-07
UTP25,4.40602204056624,5.82582273537329,0.999681238991345,1.27730944394797e-09,1.5537978112764e-07
ZNF358,11.2577332595682,-2.18880089907227,0.431111090888598,1.32922437324955e-09,1.60460719378385e-07
AL355075.4,12.4938881179695,6.79332236889024,1.18993641563281,1.40581622375434e-09,1.67160065314215e-07
TENT4B,7.26630216213407,6.02316444005082,1.03967433670497,1.40586117913182e-09,1.67160065314215e-07
NBDY,19.350855098052,6.28654818421588,1.09043805996502,1.42218287496329e-09,1.67838805855742e-07
GK,18.1157288460473,3.46280847133988,0.596664089002328,1.61658126471904e-09,1.89367526816792e-07
